,close,PCT_CHG,delta,symbol,name,source,date,revision,date_stamp
0,29816.4,-0.019,-576.93,BK0424,水泥建材,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
1,8079.22,-0.0098,-80.05,BK0479,钢铁行业,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
2,1565.11,-0.0063,-9.85,BK1040,中药,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
3,8160.5,-0.004699999999999999,-38.36,BK0450,航运港口,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
4,987.81,-0.0045000000000000005,-4.46,BK0474,保险,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
5,14579.26,-0.0027,-39.24,BK0451,房地产开发,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
6,7461.16,-0.0013,-10.03,BK0427,公用事业,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
7,600.06,-0.0012,-0.72,BK0726,工程咨询服务,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
8,44063.28,-0.0011,-48.27,BK0546,玻璃玻纤,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
9,3014.72,-0.0003,-0.89,BK0475,银行,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
10,19237.45,-0.0002,-3.07,BK0425,工程建设,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
11,440.89,0.0009,0.41,BK0734,珠宝首饰,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
12,135839.63,0.0018,249.83,BK0473,证券,eastmoney,2021-12-31 00:00:00,1640908800,1640908800
